campaign_id,name,channel,start_date,end_date,target_region,target_category,target_audience,budget,spend,impressions,clicks,conversions,ctr,conversion_rate,cpa,roi,objective,notes
CAM039,Beauty & Personal Care Promotion 39,TV,2023-07-23,2023-10-12,Europe,Beauty & Personal Care,New Customers,42940.77,41315.45,346423,39448,8076,0.1139,0.2047,5.12,28.18,Lead Generation,Seat yet dream increase country. Small common threat television third write.
CAM040,Home & Kitchen Launch 40,Radio,2023-07-02,2023-08-16,Latin America,Home & Kitchen,All,31602.24,25628.41,567301,26028,4790,0.0459,0.184,5.35,,Sales,
CAM041,Home & Kitchen Sale 41,Email,2023-10-03,2023-10-20,Middle East & Africa,Home & Kitchen,Existing Customers,45116.16,40912.42,940024,54083,4180,0.0575,0.0773,9.79,15.79,Sales,Number air interesting audience language structure administration.
CAM042,Sports & Outdoors Promotion 42,Direct Mail,2023-04-02,2023-04-19,North America,Sports & Outdoors,All,41568.71,41369.7,274054,25858,7686,0.0944,0.2972,5.38,17.94,Lead Generation,
CAM043,Beauty & Personal Care Sale 43,Email,2022-10-24,2022-11-12,North America,Beauty & Personal Care,Existing Customers,42460.32,35733.91,835276,94647,8539,0.1133,0.0902,4.18,41.71,Customer Retention,Method picture me left involve although. Way culture interesting draw would apply read.
CAM044,Fashion Awareness 44,Affiliate,2023-10-12,2023-10-30,Europe,Fashion,Existing Customers,87888.64,78554.07,450051,78912,7903,0.1753,0.1001,9.94,7.66,Brand Awareness,
CAM045,Sports & Outdoors Launch 45,TV,2023-02-03,2023-04-13,Middle East & Africa,Sports & Outdoors,Existing Customers,78588.99,70621.18,117758,85155,84,0.7231,0.001,840.73,-0.83,Lead Generation,
CAM046,Fashion Launch 46,Display Ads,2022-09-03,2022-10-14,North America,Fashion,New Customers,32342.0,32205.77,446091,40358,6565,0.0905,0.1627,4.91,13.73,Sales,Today high indeed level significant usually. In tax build coach measure. Admit various structure.
CAM047,Sports & Outdoors Sale 47,Email,2022-09-03,2022-11-09,North America,Sports & Outdoors,All,59726.56,53703.39,885940,12519,3983,0.0141,0.3182,13.48,7.5,Customer Retention,
CAM048,Electronics Launch 48,TV,2023-06-09,2023-08-06,Middle East & Africa,Electronics,New Customers,18156.88,14844.74,303090,98632,1441,0.3254,0.0146,10.3,14.02,Lead Generation,Foot rich production my. Development into side clearly room.
CAM049,Home & Kitchen Launch 49,Display Ads,2022-04-01,2022-05-31,Latin America,Home & Kitchen,Existing Customers,97636.04,109490.02,52114,24628,8542,0.4726,0.3468,12.82,3.15,Brand Awareness,
CAM050,Toys & Games Awareness 50,Affiliate,2023-05-29,2023-07-03,Middle East & Africa,Toys & Games,All,85112.06,80165.39,703714,93110,7150,0.1323,0.0768,11.21,14.33,Brand Awareness,
