title,price,id,shop,comments,brand,memory,storage,screen_size,processor,gpu
ThinkPad X1 Carbon AI 2024/Aura AI 2025 全新英特尔酷睿Ultra可选 14英寸全...,199.0,10093678220205,ThinkPad京东自营官方旗舰店,,ThinkPad,,,14.0,其他,集成显卡
惠普（HP）【国家补贴20%】战66 六代 酷睿14英寸轻薄笔记本电脑 高性能13代i5 16G 1TB 高色域低蓝光 ...,39.0,100114034183,惠普京东自营官方旗舰店,,惠普,,1024.0,14.0,其他,集成显卡
华为MateBook GT 14 酷睿Ultra 笔记本电脑 国家补贴20% 2.8K OLED悬浮屏Ultra 5 3...,79.0,100130470702,华为京东自营官方旗舰店,,华为,,,,ultra,集成显卡
Apple/苹果AI笔记本/2024MacBookPro14英寸M4(10+10核) 16G 512G深空黑色笔记本电脑...,199.0,100124527967,Apple产品京东自营旗舰店,,苹果,16.0,512.0,14.0,其他,集成显卡
ThinkPad【国家补贴20%】E14 轻薄便携联想笔记本电脑 R5 16G 512G 黑,39.0,100139410544,ThinkPad京东自营旗舰店,,联想,16.0,512.0,,其他,集成显卡
惠普（HP）【国家补贴20%】锐14 AMD锐龙 14英寸轻薄笔记本电脑(六核R5-7530U 8G 512G 指纹 一...,29.0,100046501064,惠普京东自营官方旗舰店,,惠普,8.0,512.0,14.0,r5,集成显卡
ROG枪神8 16英寸 14代酷睿i9 星云屏游戏本笔记本电脑(i9-14900HX 液金导热 16G 1T RTX40...,169.0,100085297058,玩家国度ROG京东自营官方旗舰店,,其他,16.0,1024.0,16.0,i9,集成显卡
惠普（HP）【国家补贴20%】战66七代 AMD锐龙16英寸轻薄笔记本电脑(高性能R7 32G 1T 2.5K高色域12...,59.0,100095583555,惠普京东自营官方旗舰店,,惠普,32.0,1024.0,16.0,其他,集成显卡
ThinkPad【国家补贴20%】联想笔记本电脑ThinkBook 14+ AI全能本 英特尔酷睿Ultra5 14.5...,67.0,100089763932,ThinkPad京东自营旗舰店,,联想,,,,ultra,集成显卡
Apple/苹果AI笔记本/2022MacBookAir13.6英寸M2(8+10核)16G 512G 深空灰电脑 Z1...,89.0,100039592227,Apple产品京东自营旗舰店,,苹果,16.0,512.0,13.6,m2,Apple
联想笔记本电脑小新Pro14超能本 高性能轻薄本锐龙7 8745H 24G 1T 2.8K OLED高刷 游戏【国家补贴...,59.0,100110858143,联想京东自营旗舰店,,联想,,1024.0,,其他,集成显卡
神舟（HASEE）【国家补贴20%】战神S8 12代酷睿i7 15.6英寸游戏本笔记本电脑(i7-12650H RTX4...,59.0,100048910082,神舟电脑京东自营旗舰店,,其他,,,15.6,i7,集成显卡
微星（MSI）雷影17满血版 【国家补贴20%】17.3英寸游戏本笔记本电脑(R9-7945HX RTX4060 16G...,80.0,100058650790,微星游戏本京东自营官方旗舰店,,微星,16.0,,17.3,r9,RTX4060
戴睿（dere）国家补贴英特尔轻薄本14英寸便携笔记本电脑自营 学生网课设计游戏娱乐商务办公本 8G+128G 星空灰,9.0,100053554962,DERE戴睿京东自营旗舰店,,其他,8.0,,14.0,其他,集成显卡
惠普（HP）【国家补贴20%电脑】战99 高性能笔记本AI酷睿标压 16英寸 Ultra7 32G 1T RTX4060...,99.0,100153367020,惠普京东自营官方旗舰店,,惠普,32.0,1024.0,16.0,ultra,RTX4060
联想小新Air14轻薄笔记本电脑 2024可选酷睿i7版AI女大学生办公设计娱乐游戏本可选异能者系列【定制】 新品 N1...,29.0,10062495970134,联想有点授权专卖店,,联想,,,,其他,集成显卡
